version,git_commit,data_source,device,solver_name,sample_size,feature_dim,pop_size,fit_time_s,converged,iter_num,compile_time_fraction,final_loss,final_grad_max
latest,660e47a,synthetic,cpu,BFGS[optimistix],10000,1,10,0.4417983775900211,True,8.0,0.8942084495166671,9.919048421391544,7.373258985136912e-09
latest,660e47a,synthetic,cpu,Newton[nemos],100,1,10,0.4430321243882645,True,4.0,0.9870419878877463,9.7349403606424,1.0298995217847967e-11
latest,660e47a,synthetic,cpu,newton-cholesky[sklearn],100000,1,10,0.44359498880803583,True,19.0,0.0,,
latest,660e47a,synthetic,cpu,SVRG[nemos],100,1,1,0.44600391559069974,True,1771.0,0.728020439065623,0.981420422750747,9.85043002882808e-08
latest,660e47a,synthetic,cpu,Newton[nemos],1000,1,10,0.4464730133069679,True,3.0,0.9720320245658357,9.881816950316562,6.462564270531823e-08
latest,660e47a,synthetic,gpu,LBFGS[scipy],100000,10,10,0.448510713194264,True,9.0,0.0,9.4116407348546,3.200444512285023e-07
latest,660e47a,synthetic,cpu,BFGS[optimistix],100,10,20,0.4494093202869408,True,26.0,0.8982876413753897,17.452847676196704,9.358397812018843e-08
latest,660e47a,synthetic,cpu,newton-cholesky[sklearn],10000,100,1,0.4496994799992535,True,5.0,0.0,,
latest,660e47a,synthetic,cpu,Newton[nemos],100,10,10,0.4503527893975843,True,5.0,0.973569751853829,8.807686810942831,8.866544152531797e-11
latest,660e47a,synthetic,cpu,BFGS[optimistix],1000,10,20,0.45109416359919124,True,14.0,0.887942562719061,18.715454669007148,2.1647779022485047e-08
latest,660e47a,synthetic,cpu,ProxSVRG[nemos],100,1,1,0.45109649098594673,True,1771.0,0.7210055040483883,0.9814779135871896,9.867815095859073e-08
latest,660e47a,synthetic,cpu,Newton[nemos],100,1,20,0.453019466198748,True,4.0,0.9858200272531785,19.508715460319763,4.974980665059177e-11
latest,660e47a,synthetic,cpu,LBFGS[scipy],10000,100,10,0.45668432049569674,True,19.0,0.0,1.1066246737613528,7.370864560465352e-07
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],10000,1,10,0.4583813901932444,True,12.0,0.8220550089964345,9.919704051385454,4.339891624240491e-08
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],10000,100,1,0.45874980759690515,True,63.0,0.7208128010858642,-0.2173810365589915,2.007803051014625e-06
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],10000,1,10,0.4598012398870196,True,12.0,0.8202205117473955,9.919048421391553,4.3452496432819586e-08
latest,660e47a,synthetic,cpu,Newton[nemos],100000,10,1,0.46006463180528956,True,3.0,0.8874108331822363,0.9643608129124164,1.887489723170332e-07
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],100000,10,1,0.46046271260711363,True,17.0,0.7338828826584303,0.9649932883433572,9.337676121642068e-07
latest,660e47a,synthetic,cpu,Newton[nemos],10000,100,1,0.4619296713091899,True,5.0,0.8710444025642726,-0.2173810365645402,3.139873180598232e-08
latest,660e47a,synthetic,cpu,Newton[nemos],1000,1,20,0.4650367411086336,True,3.0,0.9628668735822392,19.738105070346307,1.7722339866466097e-07
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],100000,10,1,0.46639020140864884,True,18.0,0.7348775393470036,0.9643608129129861,7.096619198724251e-07
latest,660e47a,synthetic,gpu,LBFGS[scipy],10000,10,20,0.4665749118081294,True,10.0,0.0,18.76252283847376,6.224511017935419e-07
latest,660e47a,synthetic,cpu,newton-cholesky[sklearn],100000,1,20,0.46753052439307796,True,39.0,0.0,,
latest,660e47a,synthetic,cpu,Newton[nemos],1000,10,20,0.46784416339942253,True,4.0,0.9472541697621824,18.715454669007148,5.7156075289332975e-09
latest,660e47a,synthetic,gpu,LBFGS[scipy],100000,10,20,0.47281499030359553,True,10.0,0.0,18.780052109590848,6.321353645775962e-07
latest,660e47a,synthetic,cpu,Newton[nemos],10000,10,10,0.47336606300086714,True,4.0,0.9051812937928692,9.400467400486598,6.126622351804166e-10
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],10000,10,10,0.4767043450963683,True,27.0,0.6809556261939488,9.408504224584,0.000790745269043
latest,660e47a,synthetic,cpu,BFGS[optimistix],100000,1,10,0.4769096566946246,True,8.0,0.8157298744853664,9.922374712916676,6.9217938959741446e-09
latest,660e47a,synthetic,cpu,BFGS[optimistix],10000,10,20,0.4774066323123406,True,13.0,0.8378106712270277,18.76252283847071,4.982533391363794e-08
latest,660e47a,synthetic,cpu,LBFGS[scipy],1000,100,10,0.47971903081052,True,31.0,0.0,0.115378582446621,6.801590917149269e-07
latest,660e47a,synthetic,cpu,Newton[nemos],10000,1,10,0.4825239030935336,True,3.0,0.9463665097934786,9.919048421391546,5.358211525516299e-09
latest,660e47a,synthetic,cpu,Newton[nemos],100,10,20,0.4878932426916435,True,6.0,0.9706358565688161,17.452847676196622,1.7605195784271138e-11
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],10000,100,1,0.49152819780865686,True,59.0,0.7376294448491212,-0.2092030626552579,4.13646573270551e-06
latest,660e47a,synthetic,cpu,Newton[nemos],10000,1,20,0.49239122540457175,True,3.0,0.9292212020551351,19.78164979890914,2.0760655042014e-07
latest,660e47a,synthetic,gpu,LBFGS[scipy],1000,10,20,0.49317384961177596,True,12.0,0.0,18.715454669007205,1.7600508683476845e-07
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],10000,1,20,0.49331138021079823,True,23.0,0.7288123820538763,19.78335464011477,2.82553117448214e-07
latest,660e47a,synthetic,gpu,LBFGS[scipy],100,10,10,0.4979496318963356,True,18.0,0.0,8.807686810953724,9.287193105648357e-07
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],10000,10,10,0.498821822204627,True,27.0,0.6671622181224517,9.4004674004869,3.224759583114745e-07
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],10000,1,20,0.5004792427003849,True,23.0,0.7136315344291474,19.781649798909257,2.833186228557035e-07
latest,660e47a,synthetic,cpu,Newton[nemos],100,100,10,0.5005814130941871,True,11.0,0.9278051798329916,-4.6929496431086175,1.947829571248257e-07
latest,660e47a,synthetic,cpu,Newton[nemos],1000,100,10,0.506198345508892,True,7.0,0.8901437999666589,0.11537858243884172,2.990815196687196e-08
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],100000,1,10,0.5068327489076182,True,12.0,0.6874995309789149,9.922374712916676,3.9142567254948565e-08
latest,660e47a,synthetic,cpu,SVRG[nemos],100,10,1,0.5129070924012922,True,2760.0,0.6220949448588701,0.9680628623838949,7.117354996086732e-08
latest,660e47a,synthetic,cpu,ProxSVRG[nemos],1000,1,1,0.5175928662996739,True,1524.0,0.6507765835245044,0.986042433334067,9.885101973127269e-08
latest,660e47a,synthetic,cpu,ProxSVRG[nemos],100,10,1,0.5180500567017589,True,2611.0,0.6381405189460708,0.9686112635182968,0.0018932678117666
latest,660e47a,synthetic,cpu,LBFGS[scipy],10000,100,20,0.5181166999100242,True,22.0,0.0,2.584625333617953,4.831050869457797e-07
latest,660e47a,synthetic,cpu,SVRG[nemos],1000,1,1,0.5234029276005459,True,1525.0,0.647741450816582,0.985988939474429,9.872262584742326e-08
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],1000,100,10,0.5243690647010226,True,152.0,0.6280855739832933,0.1920991937828765,0.0019397960632788
latest,660e47a,synthetic,cpu,BFGS[optimistix],100000,10,10,0.5256606755952816,True,12.0,0.7281749863572832,9.41164073485411,1.5695468500841886e-08
latest,660e47a,synthetic,cpu,Newton[nemos],1000,100,20,0.5261494207021314,True,8.0,0.8525938346976749,0.7301699802680612,2.56608857527403e-08
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],100000,1,10,0.5262075624079443,True,12.0,0.7001387405101595,9.923000117680573,3.9740411747393046e-08
latest,660e47a,synthetic,cpu,Newton[nemos],10000,10,20,0.5267679601965938,True,4.0,0.8808571645567473,18.76252283847069,5.781865676014221e-09
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],10000,10,20,0.5280077851028182,True,29.0,0.642347574958303,18.77849600815037,0.0013338827846193
latest,660e47a,synthetic,cpu,BFGS[optimistix],100000,1,20,0.5311190751031972,True,9.0,0.7540552097722925,19.786024827106104,1.639139918322699e-08
